FID,SCD,STR_NAME,BEZANZ,BEZLISTE,GUELTIG_AB,GIP_OBJECTID,NAMECAT,NAMECAT_NAME
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f79,02330,Kalmusweg,1,22,1953-06-03,10002271,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f7a,04894,Tichtelgasse,1,12,1875-06-30,10004793,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f7b,05432,Zeleborgasse,1,12,1894-06-30,10005322,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f7c,04721,Stiegergasse,1,15,1840-06-30,10004622,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f7d,04298,Schmedesweg,1,16,1936-03-28,10004203,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f7e,02937,Lodererweg,1,23,1973-01-05,10002869,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f7f,02677,Krütznergasse,1,18,1933-02-20,10002611,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f80,03443,Nußberggasse,1,19,1894-06-30,10003367,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f81,00349,Ballgasse,1,1,1973-01-05,10000338,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f82,02385,Karlsplatz,2,1|4,1899-04-21,10002326,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f83,10687,Rosariumsteg 1,1,22,1989-07-18,10007964,2068,Brücke
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f84,10688,Fußgängersteg Kleines Schilloch,1,22,1989-07-18,10007965,2068,Brücke
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f85,21105,Flüchtlingshaus Rossauerlände,1,9,2011-06-16,10010476,34000,Sozialeinrichtungen
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f86,21108,Krankenhaus Göttlicher Heiland,1,17,2013-01-11,10010479,2034,"Spital, Pflegeheim"
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f87,21110,Franziskus Spital Margareten,1,5,2018-10-10,10010481,2034,"Spital, Pflegeheim"
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f88,10575,Durchlaß für den Erbsenbach,1,19,1989-06-06,10007852,10071,lokaler (interner) Straßenname
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f89,10587,Durchlaß 1941,1,19,1989-06-06,10007864,10071,lokaler (interner) Straßenname
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f8a,71005,KG Josefstadt,1,8,1983-10-13,10010701,7253,Katastralgemeinde
