"Streetname","District","Type"
"Nordwestbahnstraße","2|20","Gemeindestraße"
"Viktor-Kutschera-Platz","14","Gemeindestraße"
"Reichmanngasse","14|16","Gemeindestraße"
"Bossigasse","13","Gemeindestraße"
"In der Hagenau","13","Gemeindestraße"
"Wienerfeldgasse","10","Gemeindestraße"
"Kolschitzkygasse","4","Gemeindestraße"
"Otto-Bauer-Gasse","6","Gemeindestraße"
"Siebensterngasse","7","Gemeindestraße"
"Rosenbursenstraße","1","Gemeindestraße"
"Hans-Pemmer-Weg","2","Gemeindestraße"
"Rosenweg","19","Gemeindestraße"
"Schatzlsteig","19","Gemeindestraße"
"Allerheiligenplatz","20","Gemeindestraße"
"Theophil-Hansen-Gasse","23","Gemeindestraße"
"Zippererstraße","11","Gemeindestraße"
"Belvederegasse","4","Gemeindestraße"
"Weidelstraße","10","Gemeindestraße"
"Spitzackergasse","17","Gemeindestraße"
"Klederinger Straße","10","Gemeindestraße"
"Leibenfrostgasse","4","Gemeindestraße"
"Schachnerstraße","22","Gemeindestraße"
"Adolf-Czettel-Gasse","16","Gemeindestraße"
"Penzinger Wiese","13","Wiese"
"Auhofer Kleine Stockwiese","13","Wiese"
"Mooswiese","13","Wiese"
"Nikolaiberg","13","Berg"
"Badeteich Süßenbrunn","22","Stehendes Gewässer (See, Teich)"
"Neue Donau","21|22","Fließgewässer"
"Heschteich","14","Stehendes Gewässer (See, Teich)"
"Lianenbrücke","22","Brücke"
"Donauparksteg","22","Brücke"
"Messestraße","2","Gemeindestraße"
"Pettenkofengasse","3","Gemeindestraße"
"Kaschauerplatz","22","Gemeindestraße"
"Franz-Glaser-Gasse","17","Gemeindestraße"
"Haebergasse","12","Gemeindestraße"
"Lützowgasse","14","Gemeindestraße"
"Bowitschgasse","13","Gemeindestraße"
"Tinterstraße","14","Gemeindestraße"
