"Streetname","District","Type"
"Weidlichgasse","13","Gemeindestraße"
"Eugen-Jettel-Weg","13","Gemeindestraße"
"Volkergasse","15","Gemeindestraße"
"Mannagettasteig","19","Gemeindestraße"
"Barawitzkagasse","19","Gemeindestraße"
"Kravoglgasse","21","Gemeindestraße"
"Schafberggasse","18","Gemeindestraße"
"Granichstaedtengasse","13","Gemeindestraße"
"Anna-Strauss-Platz","13","Gemeindestraße"
"Gonzagagasse","1","Gemeindestraße"
"Jakobergasse","1","Gemeindestraße"
"Christinengasse","1","Gemeindestraße"
"Simon-Wiesenthal-Gasse","2","Gemeindestraße"
"Kinderspitalgasse","9","Gemeindestraße"
"Praterstern","2","Gemeindestraße"
"Steg im Zuge der Parschegasse","23","Brücke"
"Löwelstraße","1","Gemeindestraße"
"Bohattaweg","23","Gemeindestraße"
"Eitelbergergasse","13","Gemeindestraße"
"Halterbachbrücke","14","Brücke"
"Pelzgasse","15","Gemeindestraße"
"Fußweg Degengasse","16","Gemeindestraße"
"Schwarzenbergallee","17","Gemeindestraße"
"Leopold-Stockert-Platz","17","Weg in Kleingartenanlage"
"Karl-Toldt-Weg","14","Gemeindestraße"
"Joachim-Schettl-Gasse","14","Gemeindestraße"
"Greta-Keller-Gasse","23","Gemeindestraße"
"Karl-Tornay-Gasse","23","Gemeindestraße"
"Stromstraße","20","Gemeindestraße"
"Andreas-Hofer-Straße","21","Gemeindestraße"
"Raffenstättergasse","22","Gebrauchsname"
"Leo-Bredl-Gasse","22","Gemeindestraße"
"Karl-Schwed-Gasse","23","Gemeindestraße"
"Inzersdorfer Brücke","23","Brücke"
"Meiereistraße","2","Gemeindestraße"
"Krummgasse","3","Gemeindestraße"
"Grünangergasse","1","Gemeindestraße"
"Müglendergasse","17","Gemeindestraße"
"Schaukalgasse","17","Gemeindestraße"
"Paul-Konrath-Gasse","17","Gemeindestraße"
"Lechthalergasse","23","Gemeindestraße"
"Blumentalbrücke","23","Brücke"
"Krokusweg","22","Gemeindestraße"
"Birostraße","23","Gemeindestraße"
"Schottenfeldgasse","7","Gemeindestraße"
"Steingasse","3","Gemeindestraße"
"Fürthweg","13","Gemeindestraße"
"Büttnersteg","23","Brücke"
"Nordbahnanlage","21","Gemeindestraße"
"Gernengasse","21","Gemeindestraße"
"Zypressenweg","22","Gemeindestraße"
"Tiefweg","21","Weg in Kleingartenanlage"
"Kormorangasse","21","Gemeindestraße"
"Brünner Straße über den Marchfeldkanal","21","Brücke"
"Tulzergasse","21","Gemeindestraße"
"Krenngasse","18","Gemeindestraße"
"Gertrudplatz","18","Gemeindestraße"
"Mautnerweg","18","Gemeindestraße"
"Knoten Nußdorf Tragwerk 10","19","Brücke"
"Anna-Figl-Weg","18","Gemeindestraße"
"Angyalföldstraße","21","Gemeindestraße"
"Kaisermühlenstraße","22","Gemeindestraße"
"Hagebuttenweg","22","Gemeindestraße"
"Deindorfstraße","22","Gemeindestraße"
"Merkelgasse","22","Gemeindestraße"
"Schierlinggrundbrücke","22","Brücke"
"Hernalser Gürtel","8|9|17","Gemeindestraße"
"Stranitzkygasse","12","Gemeindestraße"
"Schöpfergasse","12","Gemeindestraße"
"Voltagasse","21","Gemeindestraße"
"Flötzersteigbrücke","14|16","Brücke"
"Computerstraße","10","Gemeindestraße"
"Hauptweg","10","Gemeindestraße"
"Hintere Zollamtsstraße","3","Gemeindestraße"
"Geologengasse","3","Gemeindestraße"
"Ammerweg","14|16","Gemeindestraße"
"Bacherplatz","5","Gemeindestraße"
"Lippmanngasse","10","Gemeindestraße"
"Stella-Kadmon-Weg","10","Gemeindestraße"
"Edelsinnstraße","12","Gemeindestraße"
"Muffatgasse","12","Gemeindestraße"
"Jodlgasse","13","Gemeindestraße"
"Wolfenweg","14","Gemeindestraße"
"Tesarekplatz","10","Gemeindestraße"
"Heimkehrergasse","10","Gemeindestraße"
"Katharinengasse","10","Gemeindestraße"
"Emil-Hertzka-Platz","10","Gemeindestraße"
"Steinackergasse","12","Gemeindestraße"
"Violaweg","22","Gemeindestraße"
"Thalhaimergasse","16","Gemeindestraße"
"Markowskygasse","22","Gemeindestraße"
"Kühnplatz","4","Gemeindestraße"
"Humboldtplatz","10","Gemeindestraße"
"Glossystraße","14","Gemeindestraße"
"Pfarrwiesenstraße","14","Gemeindestraße"
"Brüder-Heindl-Gasse","23","Gemeindestraße"
"Bruno-Kreisky-Gasse","1","Gemeindestraße"
"Steinmüllergasse","16|17","Gemeindestraße"
"Rinnböckstraße","3|11","Gemeindestraße"
"Engelbrechtweg","13","Gemeindestraße"
"Hubermanngasse","23","Gemeindestraße"
"Neblingergasse","13","Gemeindestraße"
"Hannbaumstraße","14","Gemeindestraße"
"Baudißgasse","11","Gemeindestraße"
"Andergasse","17","Gemeindestraße"
"Mannschildgasse","10","Gemeindestraße"
"Ruttenstockgasse","12","Gemeindestraße"
"Dr.-Hanswenzel-Gasse","23","Gemeindestraße"
"Ordengasse","10","Gemeindestraße"
"Pramergasse","9","Gemeindestraße"
"Tessingasse","10","Gemeindestraße"
"Stättermayergasse","15","Gemeindestraße"
"Fuchsbodengasse","11","Gemeindestraße"
"Gutheil-Schoder-Brücke","23","Brücke"
"Schaurhofergasse","4","Gemeindestraße"
"Vogentalgasse","10","Gemeindestraße"
"Margarete-Seemann-Weg","12","Gemeindestraße"
"Kommunikationsplatz","21","Gemeindestraße"
"Wettengelgasse","23","Gemeindestraße"
"Skrabalgasse","22","Gemeindestraße"
"Hans-Sachs-Gasse","18","Gemeindestraße"
"Stammersdorfer Kellergasse","21","Gemeindestraße"
"Illekgasse","15","Gemeindestraße"
"Sinagasse","22","Gemeindestraße"
"Naufahrtweg","22","Gemeindestraße"
"Fallmerayerweg","21","Gemeindestraße"
"Georg-Prentl-Gasse","10","Gemeindestraße"
"Heinrich-Zeder-Weg","10","Gemeindestraße"
"Macholdastraße","10","Gemeindestraße"
"Fürstenhoferstraße","10","Gemeindestraße"
"Jagićgasse","13","Gemeindestraße"
"Cuviergasse","13","Gemeindestraße"
"Siccardsburggasse","10","Gemeindestraße"
"Pfauengasse","6","Gemeindestraße"
"Nelkengasse","6","Gemeindestraße"
"Armbrustergasse","19","Gemeindestraße"
"Sillerstraße","19","Weg in Kleingartenanlage"
"Eichenstraße","5|12","Gemeindestraße"
"Späthgasse","22","Gemeindestraße"
"Eisstoßgasse","22","Gemeindestraße"
"Salzachstraße","20","Gemeindestraße"
"Steinitzsteg","20|21","Brücke"
"Nußdorfer Steg","20","Brücke"
"Zaunscherbgasse","21","Gemeindestraße"
"Andorngasse","22","Gemeindestraße"
"Eckertgasse","10","Gemeindestraße"
"Spargelfeldstraße","22","Gemeindestraße"
"Michael-Dietmann-Gasse","21","Gemeindestraße"
"Hasswellgasse","21","Gemeindestraße"
"Rußbergstraße","21","Gemeindestraße"
"Berzeliusgasse","21","Gemeindestraße"
"Schenkweg","14","Gemeindestraße"
"Tönsbergweg","22","Gemeindestraße"
"Emmerich-Fasching-Gasse","22","Gemeindestraße"
"Ambrosigasse","22","Gemeindestraße"
"Theodor-Kramer-Straße","22","Gemeindestraße"
"Gugliagasse","22","Gemeindestraße"
"EN 12 Grünbrücke Überfuhrstraße","21","Brücke"
"Südtiroler Platz","4|10","Gemeindestraße"
"Margaretenplatz","5","Gemeindestraße"
"Scherffenberggasse","18","Gemeindestraße"
"Edelhofgasse","18","Gemeindestraße"
"Scheidlstraße","18","Gemeindestraße"
"Rimplergasse","18","Gemeindestraße"
"Baumberggasse","21","Gemeindestraße"
"Plenergasse","18","Gemeindestraße"
"Anna-Frauer-Gasse","18","Gemeindestraße"
"Premreinergasse","13","Gemeindestraße"
"Hoßplatz","21","Gemeindestraße"
"Baldassgasse","21","Gemeindestraße"
"Gebauergasse","21","Gemeindestraße"
"Bussardgasse","21","Gemeindestraße"
"Loschmidtgasse","21","Gemeindestraße"
"Schwanngasse","21","Gemeindestraße"
"Rosannagasse","21","Gemeindestraße"
"Marbodgasse","22","Gemeindestraße"
"Bullagasse","22","Gemeindestraße"
"Fischottergasse","21","Gemeindestraße"
"Grimmgasse","15","Gemeindestraße"
"Hollergasse","15","Gemeindestraße"
"Schautagasse","10","Gemeindestraße"
"Vettersgasse","10","Gemeindestraße"
"August-Sigl-Straße","10","Gemeindestraße"
"Bergtaidingweg","10","Gemeindestraße"
"Theodor-Sickel-Gasse","10","Gemeindestraße"
"Serravagasse","14","Gemeindestraße"
"Seglerweg","14|16","Gemeindestraße"
"Grenzweg","14","Gemeindestraße"
"Zyklamengasse","14","Gemeindestraße"
"Stockentenweg","14","Gemeindestraße"
"Erdburgweg","14","Gemeindestraße"
"Ludwiggasse","14","Gemeindestraße"
"Donhartgasse","14","Gemeindestraße"
"Litschauweg","21","Gemeindestraße"
"Frauenstiftgasse","21","Gemeindestraße"
"Stowassergasse","21","Gemeindestraße"
"Koschiergasse","21","Gemeindestraße"
"Berzeliusplatz","21","Gemeindestraße"
"Marksteinergasse","21","Gemeindestraße"
"Kerschbaumgasse","10","Gemeindestraße"
"Holteigasse","21","Gemeindestraße"
"Dragoungasse","21","Gemeindestraße"
"Steg Rothneusiedel","10","Brücke"
"Servaesgasse","10","Gemeindestraße"
"Theodor-Steiskal-Gasse","10","Gemeindestraße"
"Amarantgasse","10","Gemeindestraße"
"Rieplstraße","10","Gemeindestraße"
"Jenny-Lind-Gasse","10","Gemeindestraße"
"Scariaweg","16","Gemeindestraße"
"Dehmelgasse","16","Gemeindestraße"
"Hubertusweg","17","Gemeindestraße"
"Schwalbenweg","17","Gemeindestraße"
"Josef-Redl-Gasse","17|18","Gemeindestraße"
"Marienweg","17","Weg in Kleingartenanlage"
"Antonigasse","17|18","Gemeindestraße"
"Pezzlgasse","17","Gemeindestraße"
"Horneckgasse","17","Gemeindestraße"
"Nesselgasse","17","Gemeindestraße"
"St.-Bartholomäus-Platz","17","Gemeindestraße"
"Kapitelgasse","17","Gemeindestraße"
"Gruntzelstraße","22","Gemeindestraße"
"Ambergergasse","22","Gemeindestraße"
"Wacquantgasse","22","Gemeindestraße"
"Gewidmete Verkehrsfläche","22","Gemeindestraße"
"Bukovicsgasse","22","Gemeindestraße"
"Am Mühlwasser","22","Gemeindestraße"
"Hadrawagasse","22","Gemeindestraße"
"Hirseweg","22","Gemeindestraße"
"Leskygasse","22","Gemeindestraße"
"Strohblumengasse","22","Gemeindestraße"
"Ibachstraße","22","Gemeindestraße"
"Osloplatz","22","Gemeindestraße"
"Kanalbrücke","22","Brücke"
"Lotsenweg","22","Gemeindestraße"
"Bienweg","22","Gemeindestraße"
"Gasteigergasse","20","Gemeindestraße"
"Württemberggasse","20","Gemeindestraße"
"Brigittagasse","20","Gemeindestraße"
"Clessgasse","21","Gemeindestraße"
"Frauenschuhgasse","21","Gemeindestraße"
"Roggegasse","21","Gemeindestraße"
"Mayerweckstraße","21","Gemeindestraße"
"Luckenschwemmgasse","21","Gemeindestraße"
"Salbeigasse","22","Gemeindestraße"
"Varnhagengasse","22","Gemeindestraße"
"Begonienweg","22","Gemeindestraße"
"Aurikelweg","22","Gemeindestraße"
"Gerhard-Fritsch-Gasse","17","Gemeindestraße"
"Promenadegasse","17","Gemeindestraße"
"Hietzinger Kai-Steg","13","Brücke"
"Leopold-Ernst-Gasse","17|18","Gemeindestraße"
"Korngasse","17","Gemeindestraße"
"Mittelweg","17","Weg in Kleingartenanlage"
"Grossmannstraße","22","Gemeindestraße"
"Langer Garten","22","Gemeindestraße"
"Kamillenweg","22","Gemeindestraße"
"Weidenweg","22","Gemeindestraße"
"Rallenweg","22","Gemeindestraße"
"Werndlgasse","21","Gemeindestraße"
"Novigasse","21","Gemeindestraße"
"Wettsteingasse","21","Gemeindestraße"
"Feistlgasse","21","Gemeindestraße"
"Lokomotivgasse","21","Gemeindestraße"
"Pastorstraße","21","Gemeindestraße"
"Wiener Gasse","21","Gemeindestraße"
"Brücke Jedlesee","21","Brücke"
"Pfendlergasse","21","Gemeindestraße"
"Stadlweg","21","Gemeindestraße"
"Böhmgasse","21","Gemeindestraße"
"Regattaweg","22","Gemeindestraße"
"Straßmeyergasse","22","Gemeindestraße"
"Cizekplatz","22","Gemeindestraße"
"Röbbelinggasse","22","Gemeindestraße"
"Moritz-Seeler-Gasse","10","Gemeindestraße"
"Gartenschaugasse","10","Gemeindestraße"
"Weichseltalweg","11","Gemeindestraße"
"Paulusplatz","3","Gemeindestraße"
"Metternichgasse","3","Gemeindestraße"
"Zaunergasse","3","Gemeindestraße"
"Tuchlaubenhof","1","Gemeindestraße"
"Dr.-Ignaz-Seipel-Platz","1","Gemeindestraße"
"Hansenstraße","1","Gemeindestraße"
"Kollmayergasse","12","Gemeindestraße"
"Korbergasse","12","Gemeindestraße"
"Columbusplatz","10","Gemeindestraße"
"Reisingergasse","10","Gemeindestraße"
"Alxingergasse","10","Gemeindestraße"
"Keplerplatz","10","Gemeindestraße"
"Schanzstraße","14|15","Gemeindestraße"
"Feilplatz","14","Gemeindestraße"
"Verbindungsweg","14","Gemeindestraße"
"Käthe-Dorsch-Gasse","14","Gemeindestraße"
"Hickelgasse","14","Gemeindestraße"
"Schrankgasse","7","Gemeindestraße"
"Kochgasse","8","Gemeindestraße"
"Schmidgasse","8","Gemeindestraße"
"Skodagasse","8","Gemeindestraße"
"Woinovichgasse","13","Gemeindestraße"
"Stuweckengasse","13","Gemeindestraße"
"Preleuthnersteig","13","Gemeindestraße"
"Schmardagasse","13","Gemeindestraße"
"Hochwiesenweg","13","Gemeindestraße"
"Eichbachgasse","14","Gemeindestraße"
"Braungasse","17","Gemeindestraße"
"Urbangasse","17","Gemeindestraße"
"Grasmückenweg","14","Gemeindestraße"
"Comeniusgasse","17","Gemeindestraße"
"Rupertusplatz","17","Gemeindestraße"
"Lascygasse","17","Gemeindestraße"
"Lacknergasse","17|18","Gemeindestraße"
"Neuntegasse","17","Gemeindestraße"
"Rennbahnweg","22","Gemeindestraße"
"Lauchgasse","22","Gemeindestraße"
"Friedhofweg","22","Gemeindestraße"
"Gunertweg","22","Gemeindestraße"
"Pehamgasse","22","Gemeindestraße"
"Bennogasse","8","Gemeindestraße"
"Breitenfelder Gasse","8","Gemeindestraße"
"Albertgasse","8","Gemeindestraße"
"Kupkagasse","8","Gemeindestraße"
"Lenaugasse","8","Gemeindestraße"
"Zeltgasse","8","Gemeindestraße"
"Bindergasse","9","Gemeindestraße"
"Mantuanigasse","23","Gemeindestraße"
"Nordbergstraße","9","Gemeindestraße"
"Pulverturmgasse","9","Gemeindestraße"
"Denglergasse","15","Gemeindestraße"
"Hanglüßgasse","15","Gemeindestraße"
"Diefenbachgasse","15","Gemeindestraße"
"Reindorfgasse","15","Gemeindestraße"
"Graumanngasse","15","Gemeindestraße"
"Warchalowskigasse","22","Gemeindestraße"
"Immergrüngasse","22","Gemeindestraße"
"Köstlergasse","6","Gemeindestraße"
"Amerlingstraße","6","Gemeindestraße"
"Lerchenspornweg","22","Gemeindestraße"
"Am Ries","22","Gemeindestraße"
"Pastinakweg","22","Gemeindestraße"
"Hochmuthgasse","22","Gemeindestraße"
"Eidechsengasse","22","Gemeindestraße"
"Obere Ried","22","Gemeindestraße"
"Jakob-König-Hof","22","Gemeindestraße"
"Wollekweg","22","Gemeindestraße"
"Ludwiggasse","18","Gemeindestraße"
"Tichyweg","18","Gemeindestraße"
"Herzmanskybrücke","14","Brücke"
"Hermann-Bahr-Straße","21","Gemeindestraße"
"Patrizigasse","21","Gemeindestraße"
"Morelligasse","21","Gemeindestraße"
"Sportweg","21","Gemeindestraße"
"Corygasse","21","Gemeindestraße"
"Königsteingasse","21","Gemeindestraße"
"Broßmannplatz","21","Gemeindestraße"
"Neulandweg","21","Gemeindestraße"
"Wildgänsegasse","21","Gemeindestraße"
"Millöckergasse","6","Gemeindestraße"
"Damböckgasse","6","Gemeindestraße"
"Sandwirtgasse","6","Gemeindestraße"
"Aegidigasse","6","Gemeindestraße"
"Girardigasse","6","Gemeindestraße"
"Kaunitzgasse","6","Gemeindestraße"
"Sechshauser Gürtel","6|15","Gemeindestraße"
"Morizgasse","6","Gemeindestraße"
"Kurzgasse","6","Gemeindestraße"
"Sechtergasse","12","Gemeindestraße"
"Johann-Blobner-Gasse","12","Gemeindestraße"
"Sagedergasse","12","Gemeindestraße"
"Toßgasse","15","Gemeindestraße"
"Margaretenstraße","4|5","Gemeindestraße"
"Zehngrafweg","11","Gemeindestraße"
"Kühgasse","11","Gemeindestraße"
"Albrechtsbergergasse","12","Gemeindestraße"
"Meidlinger Hauptstraße","12","Gemeindestraße"
"Laurenzgasse","5","Gemeindestraße"
"Speidelweg","22","Gemeindestraße"
"Haberditzlgasse","21","Gemeindestraße"
"Weichselbaumgasse","10","Gemeindestraße"
"Pasettistraße","20","Gemeindestraße"
"Kornhäuselgasse","20","Gemeindestraße"
"Winarskystraße","20","Gemeindestraße"
"Hochenaistgasse","14","Gemeindestraße"
"Überreiterweg","14","Gemeindestraße"
"Knödelhüttenstraße","14","Gemeindestraße"
"Hüttergasse","14","Gemeindestraße"
"Eyzinggasse","11","Gemeindestraße"
"Drischützgasse","11","Gemeindestraße"
"Grillgasse","11","Gemeindestraße"
"Leopold-Abelles-Gasse","11","Gemeindestraße"
"Brockmanngasse","12","Gemeindestraße"
"Betty-Roose-Weg","12","Gemeindestraße"
"Pronaygasse","12","Gemeindestraße"
"Thorvaldsengasse","12","Gemeindestraße"
"Hoffingergasse","12","Gemeindestraße"
"Zöppelgasse","12","Gemeindestraße"
"Grete-Zimmer-Gasse","22","Gemeindestraße"
"Lettenweg","22","Gemeindestraße"
"Layerweg","22","Gemeindestraße"
"Preßgasse","4","Gemeindestraße"
"Heumühlgasse","4","Gemeindestraße"
"Theresianumgasse","4","Gemeindestraße"
"Rueberstraße","22","Gemeindestraße"
"Greinzgasse","22","Gemeindestraße"
"Feitsingergasse","22","Gemeindestraße"
"Martnigasse","22","Gemeindestraße"
"Ostbahnweg","22","Gemeindestraße"
"Lobgrundstraße","22","Gemeindestraße"
"Marietta-Blau-Gasse","22","Gemeindestraße"
"Andreas-Morth-Weg","22","Gemeindestraße"
"Stefan-Koblinger-Gasse","22","Gemeindestraße"
"Forstnergasse","22","Gemeindestraße"
"Löblweg","22","Gemeindestraße"
"Heinz-Lazek-Weg","22","Gemeindestraße"
"Werthenburggasse","12","Gemeindestraße"
"Edmund-Reim-Gasse","12","Gemeindestraße"
"Haubenbiglstraße","19","Gemeindestraße"
"Schulsteig","19","Gemeindestraße"
"Saarplatz","19","Gemeindestraße"
"Biberstraße","1","Gemeindestraße"
"Grenzgasse","13","Gemeindestraße"
"Czerninplatz","2","Gemeindestraße"
"Aspernbrückengasse","2","Gemeindestraße"
"Josef-Gall-Gasse","2","Gemeindestraße"
"Trabrennstraße","2","Gemeindestraße"
"Kaiserallee","2","Gemeindestraße"
"Sellenygasse","2","Gemeindestraße"
"Stadionallee","2","Gemeindestraße"
"Friedensgasse","2","Gemeindestraße"
"Brandgasse","2","Gemeindestraße"
"Prater 80er Linie","2","Gemeindestraße"
"Max-Koppe-Gasse","2","Gemeindestraße"
"Huttengasse","14|16","Gemeindestraße"
"Claretinergasse","22","Gemeindestraße"
"Algenweg","22","Gemeindestraße"
"Brodschekhof","22","Gemeindestraße"
"Dr.-Adolf-Schärf-Platz","22","Gemeindestraße"
"Eisenhutgasse","22","Gemeindestraße"
"Simmeringer Lände","11","Gemeindestraße"
"Wendelstattweg","19","Gemeindestraße"
"Hermann-Zottl-Promenade","19","Gemeindestraße"
"Kolonieweg","14","Gemeindestraße"
"Engelsberggasse","3","Gemeindestraße"
"Hoferstiege","23","Gemeindestraße"
"Rittlergasse","23","Gemeindestraße"
"Romberggasse","23","Gemeindestraße"
"Jordisweg","23","Gemeindestraße"
"Nowakgasse","23","Gemeindestraße"
"Erilaweg","23","Gemeindestraße"
"Buckalgasse","23","Gemeindestraße"
"Martin-Schneider-Gasse","23","Gemeindestraße"
"Andreasgasse","7","Gemeindestraße"
"Sonnenweg","14","Gemeindestraße"
"Mühlsangergasse","11","Gemeindestraße"
"Krausegasse","11","Gemeindestraße"
"Rilkeplatz","4","Gemeindestraße"
"Greiseneckergasse","20","Gemeindestraße"
"Gerhardusgasse","20","Gemeindestraße"
"Wielemansgasse","17|18","Gemeindestraße"
"Dietmayrgasse","20","Gemeindestraße"
"Hartlgasse","20","Gemeindestraße"
"Betty-Fischer-Weg","17","Gemeindestraße"
"Plachygasse","17","Gemeindestraße"
"Geroldgasse","17|18","Gemeindestraße"
"Trimmelgasse","17","Gemeindestraße"
"Quellenweg","17","Gemeindestraße"
"Vollbadgasse","17","Gemeindestraße"
"Forstschulstraße","14","Gemeindestraße"
"Engelmanngasse","17","Gemeindestraße"
"Zwerngasse","17","Gemeindestraße"
"Föderlweg","17","Gemeindestraße"
"Csardastraße","2","Gemeindestraße"
"Hans-Kraus-Weg","2","Gemeindestraße"
"Zangerlestraße","23","Gemeindestraße"
"Hermann-Schöne-Platz","10","Gemeindestraße"
"An der Ostbahn","10","Gemeindestraße"
"Naderstraße","10","Gemeindestraße"
"Gaißmayrgasse","10","Gemeindestraße"
"Hebbelplatz","10","Gemeindestraße"
"Palisagasse","10","Gemeindestraße"
"Haydngasse","6","Gemeindestraße"
"Fallgasse","6","Gemeindestraße"
"Viktor-Matejka-Stiege","6","Gemeindestraße"
"Brauergasse","6","Gemeindestraße"
"Hermanngasse","7","Gemeindestraße"
"Biraghigasse","13","Gemeindestraße"
"Genéegasse","13","Gemeindestraße"
"Borschkegasse","9","Gemeindestraße"
"Mosergasse","9","Gemeindestraße"
"Friedrich-Lieder-Weg","14","Gemeindestraße"
"Brücke im Zuge der Haindlgasse","11","Brücke"
"Büdingergasse","18|19","Gemeindestraße"
"Hawelgasse","18","Gemeindestraße"
"Pelzer Rennweg","16","Gemeindestraße"
"Sprengersteig","16","Gemeindestraße"
"Oswald-Redlich-Straße","21","Gemeindestraße"
"Schererstraße","21","Gemeindestraße"
"Röllgasse","21","Gemeindestraße"
"Castlegasse","21","Gemeindestraße"
"Hayekgasse","21","Gemeindestraße"
"Owengasse","21","Gemeindestraße"
"Meriangasse","21","Gemeindestraße"
"Frömmlgasse","21","Gemeindestraße"
"Hagenberggasse","13","Gemeindestraße"
"Schließmanngasse","13","Gemeindestraße"
"Am Platz","13","Gemeindestraße"
"Gobergasse","13","Gemeindestraße"
"Prehausergasse","13","Gemeindestraße"
"Gusindegasse","13","Gemeindestraße"
"Wattmanngasse","13","Gemeindestraße"
"Linzer Straße","14|15","Gemeindestraße"
"Zimbagasse","14","Gemeindestraße"
"Auf der Schottenwiese","16","Gemeindestraße"
"Fröbelgasse","16","Gemeindestraße"
"Stillfriedplatz","16","Gemeindestraße"
"Brunnengasse","16","Gemeindestraße"
"Feßtgasse","16","Gemeindestraße"
"Baldiagasse","16","Gemeindestraße"
"Wundtgasse","12|23","Gemeindestraße"
"Tscherttegasse","12","Gemeindestraße"
"Khleslplatz","12","Gemeindestraße"
"Otto-Bondy-Platz","12","Gemeindestraße"
"Eckartsaugasse","12","Gemeindestraße"
"Theresienbadgasse","12","Gemeindestraße"
"Zenogasse","12","Gemeindestraße"
"Duchweg","12","Gemeindestraße"
"Thunhofgasse","12","Gemeindestraße"
"Franz-Siller-Weg","12","Weg in Kleingartenanlage"
"Karl-Drescher-Gasse","11","Gemeindestraße"
"Fabianistraße","11","Gemeindestraße"
"Koberweingasse","15","Gemeindestraße"
"Zanderbrücke","23","Brücke"
"Kleegasse","17","Gemeindestraße"
"Bergmillergasse","14","Gemeindestraße"
"Adolf-Loos-Weg","21","Gemeindestraße"
"Heidelgasse","11","Gemeindestraße"
"Mosetiggasse","23","Gemeindestraße"
"Eduard-Hanslick-Gasse","16","Gemeindestraße"
"Komzakgasse","22","Gemeindestraße"
"Bertégasse","23","Gemeindestraße"
"Uranusweg","14","Gemeindestraße"
"Hintere Liesingbachstraße","10","Gemeindestraße"
"Volkertplatz","2","Gemeindestraße"
"Schweizer-Garten-Straße","3","Gemeindestraße"
"Sobieskigasse","9","Gemeindestraße"
"Weyprechtgasse","16","Gemeindestraße"
"Liebhartsgasse","16","Gemeindestraße"
"Heizwerkstraße","23","Gemeindestraße"
"Hödlgasse","23","Gemeindestraße"
"Fürst-Liechtenstein-Straße","23","Gemeindestraße"
"Uhlplatz","8","Gemeindestraße"
"Donauwartesteig","19","Gemeindestraße"
"Forchheimergasse","23","Gemeindestraße"
"Prandaugasse","22","Gemeindestraße"
"Wirerstraße","10","Gemeindestraße"
"Otto-Weininger-Gasse","13","Gemeindestraße"
"Brühlgasse","11","Gemeindestraße"
"Haidgasse","2","Gemeindestraße"
"Stella-Klein-Löw-Weg","2","Gemeindestraße"
"Prixgasse","22","Gemeindestraße"
"Kratky-Baschik-Weg","2","Gemeindestraße"
"Gellertgasse","10","Gemeindestraße"
"Mozartplatz","4","Gemeindestraße"
"Kammerergasse","19","Gemeindestraße"
"Heiligenstädter Lände","9|19","Gemeindestraße"
"Koschatgasse","19","Gemeindestraße"
"Kreindlgasse","19","Gemeindestraße"
"Roßkopfgasse","14","Gemeindestraße"
"Wolfersgrünweg","21","Gemeindestraße"
"Anton-Burg-Gasse","4","Gemeindestraße"
"Spörlingasse","6","Gemeindestraße"
"Slatingasse","13","Gemeindestraße"
"Küniglberggasse","13","Gemeindestraße"
"Gamgasse","13","Gemeindestraße"
"Peezgasse","19","Gemeindestraße"
"Villenweg","19","Gemeindestraße"
"Sieveringer Brücke","19","Brücke"
"Hertha-Kräftner-Gasse","21","Gemeindestraße"
"Freiligrathplatz","21","Gemeindestraße"
"Kanalstraße","22","Gemeindestraße"
"Meißauergasse","22","Gemeindestraße"
"Dunklergasse","12","Gemeindestraße"
"Musgergasse","22","Gemeindestraße"
"Käsmayergasse","22","Gemeindestraße"
"Haffnergasse","22","Gemeindestraße"
"Fellnergasse","22","Gemeindestraße"
"Heustadelgasse","22","Gemeindestraße"
"Batschegasse","23","Gemeindestraße"
"Egon-Friedell-Gasse","21","Gemeindestraße"
"Obersteinergasse","19","Gemeindestraße"
"Pfeilgasse","8","Gemeindestraße"
"Alfred-Nobel-Straße","21","Gemeindestraße"
"Maculangasse","22","Gemeindestraße"
"Wagramer Straße","21|22","Gemeindestraße"
"Mittlere Straße","14","Gemeindestraße"
"Greilweg","14","Gemeindestraße"
"Abraham-a-Sancta-Clara-Straße","14","Gemeindestraße"
"Bierhäuselberggasse","14","Gemeindestraße"
"Josef-Heinzl-Gasse","13","Gemeindestraße"
"Ernst-Ludwig-Gasse","10","Gemeindestraße"
"Schwarzenauweg","21","Gemeindestraße"
"Halbrittergasse","23","Gemeindestraße"
"Ehngasse","23","Gemeindestraße"
"Josef-Endlweber-Gasse","23","Gemeindestraße"
"Hilschergasse","12","Gemeindestraße"
"Roterdstraße","16","Gemeindestraße"
"Ruth-Brinkmann-Gasse","21","Gemeindestraße"
"Schopenhauerstraße","18","Gemeindestraße"
"Raimund-Zoder-Gasse","19","Gemeindestraße"
"Franz-Emerich-Gasse","12","Gemeindestraße"
"Leyserstraße","14","Gemeindestraße"
"Hyrtlgasse","16","Gemeindestraße"
"Weiskerngasse","16","Gemeindestraße"
"Frimbergergasse","13","Gemeindestraße"
"Gerhard-Wolff-Weg","19","Gemeindestraße"
"Mukenthalerweg","19","Gemeindestraße"
"Muriel-Gardiner-Buttinger-Platz","10","Gemeindestraße"
"Lieglerstraße","22","Gemeindestraße"
"Springenfelsgasse","22","Gemeindestraße"
"Brockhausengasse","22","Gemeindestraße"
"Tschörnerweg","22","Gemeindestraße"
"Wachtelweg","14","Gemeindestraße"
"Nowalskigasse","11","Gemeindestraße"
"Avicenna(Ibn-Sina) Schule","21","Schule"
"Sturhof","2","städtische Wohnhausanlage"
